#Download date: 06/26/2025
Product name,Product code,Purchase date,Purchase price,Drink date
The 2019 Beaujolais Crus Collection,MX2148,04/16/2021,75.00,0 - 0
"Château Charmail, Haut-Médoc 2012",CM16811,06/21/2021,17.00,2016 - 2023
"Viognier, Vendanges d'Octobre, Coteau Saint Giraud, IGP Ardèche, Vignerons Ardéchois 2019 50cl",RH57141,06/21/2021,11.95,2020 - 2023
"Half bottle of The Liberator 'Napoleon Bona Part Five' Noble Late Harvest, Western Cape 2019",SA16622,06/21/2021,10.50,2021 - 2030
Montepulciano d'Abruzzo Gran Sasso 2019,IT31951,07/19/2021,8.95,2021 - 2024
"Château Haut-Bardin, Bordeaux 2018",CB6141,07/19/2021,7.95,2019 - 2022
"Château Le Clos du Notaire, Côtes de Bourg 2017",CB6101,07/19/2021,10.50,2020 - 2026
Pedroncelli Friends Red Sonoma County 2018,US9261,07/19/2021,9.95,2020 - 2023
"Quinta do Lagoalva Rosé, Tejo 2020",PW8631,07/19/2021,7.95,2021 - 2022
"Castel Serranova, Salento, Vallone 2016",IT29811,07/19/2021,11.50,2020 - 2024
"Moulin-à-Vent, Domaine du Granit 2018",BJ8381,07/19/2021,11.50,2019 - 2023
Wine Champions 2021 discovery case,MX21132,07/19/2021,99.00,0 - 0
2021 Exhibition-label Wine Champions case,MX21125,07/19/2021,77.00,0 - 0
Ch Pey La Tour Reserve Bordeaux Superieur 2017,CB5441,07/19/2021,11.50,2021 - 2026
"Lacoste Borie, Pauillac 2018",CM22851,07/30/2019,114.00,2023 - 2030
Wine Essentials Case,MX21165A,08/23/2021,89.00,0 - 0
French Summer Drinking Mixed Dozen,MX21115,08/23/2021,99.00,0 - 0
"Vin de France 'Pertinence' Viognier, Réthoré Davy 2020",LO16551,08/23/2021,8.95,2021 - 2023
Barbera del Piemonte Amonte 2020,IT31591,08/23/2021,6.75,2021 - 2023
"Château Lary Tagot, Bordeaux 2018",CB5961,08/23/2021,7.95,2020 - 2023
"Les Pierres Bordes, Marsanne-Viognier, Pays d'Oc 2020",FC39851,08/23/2021,6.50,2021 - 2022
"Muscadet Sèvre-et-Maine, Famille Bougrier 2020",LO16441,08/23/2021,6.95,2021 - 2022
Wine Essentials Case,MX21165A,08/23/2021,89.00,0 - 0
French Summer Drinking Mixed Dozen,MX21115,08/23/2021,99.00,0 - 0
"Vin de France 'Pertinence' Viognier, Réthoré Davy 2020",LO16551,08/23/2021,8.95,2021 - 2023
Barbera del Piemonte Amonte 2020,IT31591,08/23/2021,6.75,2021 - 2023
"Château Lary Tagot, Bordeaux 2018",CB5961,08/23/2021,7.95,2020 - 2023
"Les Pierres Bordes, Marsanne-Viognier, Pays d'Oc 2020",FC39851,08/23/2021,6.50,2021 - 2022
"Muscadet Sèvre-et-Maine, Famille Bougrier 2020",LO16441,08/23/2021,6.95,2021 - 2022
"La Rioja Alta Selección 874 Reserva, Rioja 2017",SP16121,09/22/2020,105.00,2021 - 2027
Ch Grand Chambellan Lalande de Pomerol 2012,CS12021,11/28/2021,14.50,2021 - 2023
The Society's Exhibition Sonoma Coast Pinot Noir 2019,US9701,11/28/2021,14.95,2021 - 2026
"López de Heredia, Viña Cubillo Crianza, Rioja 2012",SP16561,11/28/2021,16.00,2020 - 2024
St. Dune Pyla McLaren Vale 2020,AU24061,11/28/2021,14.95,2021 - 2026
District 7 Monterey Pinot Noir 2019,US9771,11/28/2021,11.50,2021 - 2023
Elk Cove Vineyards Willamette Valley Estate Pinot Noir 2018,US9401,11/28/2021,22.00,2021 - 2028
"Spätburgunder, Markgräflerland, Martin Wassmer 2018",GE14141,11/28/2021,14.50,2020 - 2025
Hesketh Barossa Valley Negroamaro 2018,AU23881,11/28/2021,11.95,2021 - 2024
The Society's Saumur Brut NV,SG1061,11/28/2021,10.50,0 - 0
The Society's Saumur Rosé Brut NV,SG1071,11/28/2021,11.50,0 - 0
The Society's Celebration Crémant de Loire 2018,SG3211,11/28/2021,12.95,2021 - 2023
Beaujolais Case,LC21407A,11/28/2021,54.00,0 - 0
